Division,School,Location,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Auxiliary
Liberty A,Eastern York,"Wrightsville, PA",15.41 2,17.75 3,17.14 2,17.21 2,17.15 1,84.660 2,171.40 1
Liberty A,Governor Mifflin,"Shillington, PA",14.61 3,17.76 2,17.02 3,16.42 3,16.61 3,82.420 3,142.80 3
Liberty A,Daniel Boone,"Birdsboro, PA",13.75 4,16.81 4,16.28 4,15.55 4,16.21 4,78.600 4,137.50 4
Yankee A,Northern York,"Dillsburg, PA",16.01 1,17.88 1,17.48 1,17.08 1,17.61 1,86.060 1,150.20 1
Patriot A,Cedar Crest,"Lebanon, PA",17.48 1,17.48 1,17.21 1,17.41 1,17.81 1,87.390 1,174.10 1
Liberty Open,Susquehannock,"Glen Rock, PA",17.10 1,18.40 1,18.00 1,17.80 1,18.20 1,89.500 1,161.00 1
Yankee Open,Warwick,"Lititz, PA",17.70 1,17.90 1,17.40 1,17.90 1,17.60 1,88.500 1,152.00 1
Exhebition,Wilson,"West Lawn, PA",14.40 1,17.10 1,17.10 1,17.10 1,17.00 1,82.700 1,140.00 1
Yankee Open,Warwick,"Lititz, PA",18.50 1,18.20 1,18.30 1,18.30 1,18.00 1,91.300 1,165.00 1
Liberty Open,Conestoga Valley,"Lancaster, PA",17.60 1,17.00 1,17.50 1,17.00 1,17.50 1,86.600 1,167.00 1
Liberty A,Conestoga Valley,"Lancaster, PA",17.60 1,17.00 1,17.50 1,17.00 1,17.50 1,86.600 1,167.00 1
Independence A,Donegal HS,"Mount Joy, PA",18.39 1,15.41 1,16.35 1,17.54 1,18.28 1,85.970 1,166.80 1
American A,Coatesville,"Coatesville, PA",17.54 1,15.88 2,17.41 1,16.94 2,17.54 1,85.310 1,153.50 2
American A,Littlestown,"Littlestown, PA",17.08 2,16.28 1,16.75 2,17.34 1,14.95 3,82.400 2,159.50 1
American A,Middletown Area,"Middletown, PA",15.74 3,15.34 3,16.48 3,16.48 3,15.46 2,79.500 3,146.20 3
Yankee A,South Western,"Hanover, PA",16.48 1,18.14 1,17.54 1,17.41 1,17.61 1,87.180 1,171.50 1
Exhebition,Manheim Central,"Manheim, PA",17.14 1,16.94 1,17.74 1,18.01 1,16.27 1,86.100 1,167.50 1
Independence A,Woodbury HS,"Woodbury, NJ",16.14 1,17.01 1,17.40 1,17.35 1,15.88 2,83.780 1,162.10 1
Independence A,Chichester,"Boothwyn, PA",14.81 2,16.54 2,16.01 2,15.88 2,16.28 1,78.120 2,154.10 2
American A,Pottsgrove,"Pottstown, PA",16.67 1,17.81 1,19.20 1,17.88 1,18.47 1,90.030 1,169.40 1
American A,Pottstown,"Pottstown, PA",15.94 2,17.08 2,18.22 2,16.95 3,17.34 2,85.530 2,167.40 2
American A,Ridley,"Folsom, PA",15.74 3,16.54 3,17.34 3,17.27 2,17.00 3,83.890 3,159.40 3
Liberty A,Daniel Boone,"Birdsboro, PA",16.14 1,16.21 1,17.21 1,16.42 1,16.28 1,82.260 1,162.10 1
Yankee A,Kennett,"Kennett Square, PA",16.34 1,16.08 1,18.87 1,16.48 1,17.21 1,84.980 1,157.40 1
Patriot A,Pennsbury,"Fairless Hills, PA",17.41 1,18.14 1,18.94 1,17.15 1,18.08 1,89.720 1,171.40 1
Patriot A,Garnet Valley,"Glen Mills, PA",16.94 2,16.54 2,18.67 2,16.08 2,16.81 2,85.040 2,165.40 2
Independence Open,Haddon Heights,"Haddon Heights, NJ",17.70 1,17.00 1,16.90 1,16.90 1,17.60 1,86.100 1,176.00 1
American Open,Sun Valley,"Aston, PA",18.50 1,18.10 1,18.80 1,18.50 1,18.40 1,92.300 1,182.00 1
Yankee Open,Marple Newtown,"Newtown Square, PA",18.10 1,16.70 2,17.60 2,17.90 1,17.80 2,88.100 1,174.00 1
Yankee Open,Wilson,"West Lawn, PA",16.10 2,17.20 1,18.10 1,17.50 2,18.00 1,86.900 2,160.00 2
Patriot Open,Upper Moreland,"Willow Grove, PA",17.90 1,17.10 1,18.70 2,18.70 1,18.60 1,91.000 1,174.00 1
Patriot Open,Neshaminy,"Langhorne, PA",17.00 3,16.40 3,19.00 1,18.10 2,17.70 3,88.200 2,172.00 2
Patriot Open,Boyertown Area,"Boyertown, PA",17.20 2,16.60 2,18.20 3,17.60 3,18.20 2,87.800 3,170.00 3
Liberty Open,Penn Manor,"Millersville, PA",16.30 1,17.20 1,18.50 1,17.20 1,18.00 1,87.200 1,168.00 1
Exhebition,Phoenixville,"Phoenixville, PA",17.50 1,17.00 1,18.00 1,17.90 1,17.70 1,88.100 1,181.00 1
Patriot Open,Nazareth Area,"Nazareth, PA",18.40 1,18.50 1,19.00 1,19.10 1,18.90 1,93.900 1,181.00 3
Patriot Open,Spring-Ford,"Royersford, PA",17.40 2,18.00 2,18.80 2,18.10 2,17.90 3,90.200 2,188.00 1
Patriot Open,Downingtown East,"Downingtown, PA",17.40 2,17.60 3,18.60 3,18.00 3,18.10 2,89.700 3,184.00 2
Yankee Open,Warwick,"Lititz, PA",17.30 1,18.20 1,18.60 1,18.50 1,18.60 1,91.200 1,183.00 1
Yankee A,Kennett,"Kennett Square, PA",16.68 1,15.94 1,18.14 2,17.54 1,17.28 1,85.580 1,176.10 1
Yankee A,Exeter Township,"Exeter, PA",16.66 2,15.74 2,18.54 1,17.07 2,16.48 2,84.490 2,174.60 2
Liberty A,Concord,"Wilmington, DE",17.66 1,17.61 1,18.88 1,17.01 1,17.74 1,88.900 1,176.80 1
American A,Twin Valley,"Elverson, PA",17.40 1,18.67 1,18.94 1,17.67 1,18.01 1,90.690 1,181.50 2
American A,Ridley,"Folsom, PA",17.15 2,16.94 2,17.47 3,17.34 2,17.01 2,85.910 2,182.70 1
American A,Pittston Area,"Yatesville, PA",15.75 4,16.61 3,18.41 2,16.79 3,16.54 4,84.100 3,179.50 3
American A,West Chester East,"West Chester, PA",16.48 3,16.21 4,16.88 4,16.41 4,16.74 3,82.720 4,172.80 4
Independence A,Penn Wood,"Lansdowne, PA",16.34 1,17.94 1,18.21 1,17.54 1,17.14 1,87.170 1,174.10 1
Independence A,Chichester,"Boothwyn, PA",15.68 3,16.81 3,17.28 2,16.87 3,15.88 4,82.520 2,162.80 4
Independence A,Columbia Borough,"Columbia, PA",16.28 2,16.14 4,16.41 3,16.81 4,16.42 3,82.060 3,167.30 2
Independence A,Lackawanna Trail,"Factoryville, PA",15.28 4,17.14 2,15.61 4,17.27 2,16.74 2,82.040 4,165.30 3
Liberty Open,Conestoga Valley,"Lancaster, PA",16.60 1,16.80 2,17.70 2,17.30 1,17.60 1,86.000 1,174.00 1
Liberty Open,Haverford,"Havertown, PA",15.80 2,17.10 1,18.20 1,16.40 2,17.20 2,84.700 2,166.00 2
Independence A,Palisades,"Kintnersville, PA",16.07 3,17.54 1,17.61 1,15.87 3,16.60 1,83.690 1,167.40 2
Independence A,Donegal HS,"Mount Joy, PA",16.08 2,16.14 3,17.21 2,16.61 1,16.41 2,82.450 2,183.40 1
Independence A,Methacton,"Norristown,, PA",16.61 1,16.47 2,17.01 3,16.14 2,16.14 3,82.370 3,161.40 3
American A,Pottsgrove,"Pottstown, PA",17.74 1,18.47 2,18.54 1,17.94 1,17.61 1,90.300 1,175.40 1
American A,Souderton,"Souderton, PA",16.41 2,18.67 1,18.14 2,16.48 2,17.60 2,87.300 2,166.70 4
American A,Pottstown,"Pottstown, PA",15.41 4,17.67 3,17.87 3,15.74 4,16.60 3,83.290 3,168.70 3
American A,William Tennent,"Warminster, PA",15.75 3,17.66 4,16.94 4,15.75 3,16.27 4,82.370 4,170.70 2
Liberty A,Council Rock North,"Newtown, PA",17.21 1,18.34 2,17.94 1,17.61 1,17.55 1,88.650 1,158.70 1
Liberty A,Bensalem,"Bensalem, PA",16.81 2,18.53 1,17.74 2,16.94 2,17.54 2,87.560 2,155.40 2
Yankee A,Pennridge,"Perkasie, PA",18.47 1,18.60 1,19.20 1,18.54 1,18.74 1,93.550 1,185.40 1
Yankee A,Central Bucks West,"Doylestown, PA",16.22 2,17.07 3,17.14 2,16.68 2,16.62 3,83.730 2,169.40 2
Yankee A,Delaware Valley High School ,Milford PA,15.88 3,17.47 2,16.94 3,15.94 3,16.94 2,83.170 3,146.70 3
Patriot Open,Upper Moreland,"Willow Grove, PA",18.50 1,17.40 1,19.20 1,18.90 1,18.90 1,92.900 1,178.00 1
Patriot Open,Neshaminy,"Langhorne, PA",18.00 2,17.10 2,18.90 2,18.40 2,18.80 2,91.200 2,176.00 2
Yankee Open,Marple Newtown,"Newtown Square, PA",17.30 1,17.00 1,17.60 1,17.30 1,17.60 1,86.800 1,179.00 1
American Open,Sun Valley,"Aston, PA",18.30 1,19.00 1,19.30 1,18.50 1,19.00 1,94.100 1,174.00 1
Exhebition,Hatboro Horsham,"Horsham, PA",17.70 1,16.80 1,17.50 1,17.40 1,17.70 1,87.100 1,177.00 1
Independence A,Biglerville,"Biglerville, PA",18.47 1,17.81 1,18.87 1,18.14 1,18.07 1,91.360 1,185.40 1
Independence A,Bishop McDevitt,"Harrisburg, PA",16.61 2,16.41 2,16.94 2,16.08 2,17.21 2,83.250 2,167.40 2
Patriot A,Cumberland Valley,"Mechanicsburg, PA",17.94 1,18.21 1,17.21 1,17.68 1,19.06 1,90.100 1,177.40 1
Yankee A,Northern York,"Dillsburg, PA",17.60 2,18.61 1,17.81 1,18.41 1,18.87 1,91.300 1,175.40 1
Yankee A,South Western,"Hanover, PA",17.61 1,17.28 2,17.15 2,17.74 2,18.21 2,87.990 2,173.40 2
Yankee A,Berwick Area,"Berwick, PA",16.14 3,15.69 3,17.14 3,15.61 3,17.47 3,82.050 3,169.40 3
Liberty A,Carlisle,"Carlisle, PA",17.01 2,17.74 1,16.95 1,17.41 1,17.34 1,86.450 1,170.10 2
Liberty A,Greencastle-Antrim,"Greencastle, PA",17.41 1,17.34 2,16.68 2,17.21 2,17.07 2,85.710 2,190.70 1
American A,Loyalsock Township,"Williamsport, PA",17.28 1,17.14 1,18.60 3,18.07 1,18.86 1,89.950 1,183.40 1
American A,Littlestown,"Littlestown, PA",17.08 2,16.48 3,19.27 1,16.94 2,18.28 2,88.050 2,171.40 2
American A,York Catholic,"York, PA",15.54 4,16.94 2,18.66 2,16.01 4,17.61 4,84.760 3,169.40 3
American A,Middletown Area,"Middletown, PA",15.94 3,15.75 4,18.33 4,16.34 3,17.94 3,84.300 4,162.10 4
American Open,Williamsport Area,"Williamsport, PA",19.10 1,19.20 1,19.10 1,18.90 1,19.00 1,95.300 1,189.00 1
Liberty Open,Susquehannock,"Glen Rock, PA",18.60 1,19.30 1,19.30 1,18.60 1,19.20 1,95.000 1,178.00 2
Liberty Open,Camp Hill,"Camp Hill, PA",18.00 2,18.90 2,18.60 2,17.20 2,18.80 2,91.500 2,185.00 1
Exhebition,New Oxford,"New Oxford, PA",18.20 1,18.70 1,18.90 1,18.40 1,18.50 1,92.700 1,183.00 1
Yankee A,Cherry Hill East,"Cherry Hill, NJ",18.54 1,18.65 1,18.94 1,18.14 1,18.21 1,92.480 1,173.40 1
American A,Glassboro,"Glassboro, NJ",16.54 1,15.88 1,16.08 1,15.74 2,17.55 2,81.790 1,161.40 1
American A,Cinnaminson,"Cinnaminson, NJ",16.34 2,15.41 2,15.75 2,16.01 1,17.67 1,81.180 2,156.10 2
Independence A,Woodbury HS,"Woodbury, NJ",17.74 1,16.54 2,16.94 1,16.14 2,18.40 2,85.760 1,169.40 1
Independence A,Palmyra,"Palmyra, NJ",17.34 2,16.21 3,15.61 3,15.74 3,18.94 1,83.840 2,164.80 2
Independence A,Clayton,"Clayton, NJ",16.20 3,16.74 1,16.14 2,16.34 1,17.54 3,82.960 3,147.40 3
Independence Open,Haddon Heights,"Haddon Heights, NJ",19.30 1,18.00 1,17.90 1,18.80 1,18.60 1,92.600 1,193.00 1
Yankee Open,Cherokee,"Marlton, NJ",18.90 1,18.40 1,18.20 1,18.60 1,18.70 1,92.800 1,180.00 1
